Company Name,Rating
PT Mitra Lestari Bumi Abadi,4.5 out of 5
The Sultan Hotel & Residence Jakarta,4.375 out of 5
PT Tata Bisnis Solusi,2.8889 out of 5
PT Serenity Indonesia,4.1667 out of 5
PT Elina Indonesia,3.25 out of 5
PT PATRIA LINTAS JAYA,4.5 out of 5
PT Pancanaka Swasakti Utama,3.8571 out of 5
Universitas Airlangga,3.9231 out of 5
PT Haier Electrical Appliances Indonesia,4.1707 out of 5
INDOFOOD GROP,4.1429 out of 5
JobStreet.com®,4.5 out of 5
PT Greeneration Indonesia,4.5 out of 5
KSO Pertamina EP - Petroenim Betun Selo,0 out of 5
PT Bank Dinar Indonesia Tbk,4.1 out of 5
PT Spasi Indonesia,4 out of 5
Pt. Matahari dept stroe,4 out of 5
Tk paud,4.6667 out of 5
PT Bintai Kindenko Engineering Indonesia,3.7692 out of 5
PT Dinuo Indonesia,4.3125 out of 5
BUMN PT POS INDONESIA (PERSERO),4 out of 5
PT DONG YO EMBROIDERY INDONESIA,3 out of 5
MoneySmart Indonesia,3.6 out of 5
Larissa Aesthetic Center (Malang),3.4 out of 5
Indomarco/indomaret,4.5 out of 5
PT Duta Visual Nusantara Tivi Tujuh (Trans 7),4.1826 out of 5
PT Pesona Putra Perkasa,4.2 out of 5
PT ZI-TECHASIA,4.2 out of 5
PT White Horse Group,0 out of 5
PT. Beauty Kasatama Indonesia,3.5 out of 5
PT Hitachi Power Systems Indonesia (Experienced Candidates),4.4 out of 5
PT Global Putra Indologistic,5 out of 5
PT Kideco Jaya Agung (Kideco) (Experienced Candidates),4.4286 out of 5
PT. Lotte Mart Indonesia - Cabang Green Pramuka,4 out of 5
PT Surya Zig Zag,4 out of 5
PT Anugerah Jaya Steel,3.3333 out of 5
Bank Central Asia (BCA),4.5333 out of 5
CV Mitra Dunia Palletindo,4.3333 out of 5
PT Bina Sarana Sukses,4.5714 out of 5
PT.VICTORY CHINGLUHU INDONESIA,4.8889 out of 5
PT. Hana Nuansa Pratama,4 out of 5
Sales Marketing Community,4.5714 out of 5
PT Kliknklin Digital Nusantara,3.5 out of 5
PT Kobexindo Tractors,0 out of 5
PT. Nippon Indosari Copindo ( Sari Roti),4.6667 out of 5
PT. JAYA SELULER INDONESIA (JBI),4.5 out of 5
PT Ciriajasa Rancang Bangun Mandiri,4.25 out of 5
PT.MINISO INTERNASIONAL COMPANY,4.5714 out of 5
"PT.indomaret Drive,kasir",4.6667 out of 5
PT Handhindra jeka,4 out of 5
PT Yakult Indonesia Persada (Yogyakarta),3.6667 out of 5
PT MIDTOU ARYACOM FUTURES CAB SURABAYA,4.3333 out of 5
PT.INDOFOOP,5 out of 5
PT Bekasi Asri Pemula Tbk,4.5 out of 5
PT Bumi Aksara,3.5 out of 5
PT Nikko Cahaya Electric,4.6667 out of 5
PT Dwi Sapta Pratama,4.35 out of 5
PT Inlingua International Indonesia,4.2 out of 5
Yayasan Perguruan Tinggi Kristen Maranatha,3 out of 5
PT Bank Panin Tbk (KCU Bekasi Square),0 out of 5
PT Enerren Technologies,4.125 out of 5
PT Onamba Indonesia,3.9231 out of 5
PT Djarum,4.53 out of 5
PT BAM Decorient Indonesia,4.2222 out of 5
"Kantor Akuntan Publik Griselda,Wisnu & Arum",4.6667 out of 5
Busana Apparel Group,3.3478 out of 5
Sebuah Group Perusahaan Perkebunan Dan PKS,4.5 out of 5
PT. ABC President,4.5 out of 5
PT. Arya Jaya,5 out of 5
PT Madesa Sejahtera Utama,3 out of 5
PT Lazada Elogistisc indonesia,4.6296 out of 5
PT. Trans Mitra Mandiri,2.75 out of 5
PT.DIKA andalan,3 out of 5
Bank QNB Indonesia,4 out of 5
CV Putra Mas Pratama,3.6667 out of 5
Sekolah Kristen Tunas Bangsa (Yayasan Harapan Bangsa),4.2273 out of 5
PT Sumber Gunadinamis,4 out of 5
Perusahaan Ready Mix,4.3333 out of 5
PT Bahana Inovasi Adikarya,4.3333 out of 5
Pabrik sepatu yang bermerek adidas,3.8 out of 5
PT Sprint Asia Technology,4.1429 out of 5
PT Aromaduta Rasaprima,3.3333 out of 5
PT Interdinamika Konstruksitama,3 out of 5
Koperasi Kasih Indonesia,4.6667 out of 5
PT Marinata Boga Jaya / St. Marc Cafe,2.5 out of 5
PT Brunel Service Indonesia,4.2 out of 5
PT Bara Batu Ampar Prima,0 out of 5
PT Semen Gresik TBK,4.55 out of 5
PT Sixmurs Perdana,4.2 out of 5
PT Asmat Jaya Pratama(Aston Jayapura Hotel&Convention Center,4.5556 out of 5
PT Indo Mega Vision,4 out of 5
PT. Starindo Kapital Indonesia,5 out of 5
PT Kilap Propertindo,4.4286 out of 5
PT Anta Tirta Kirana,4.3333 out of 5
PT. Circleka Indonesia Utama,4.189 out of 5
PT Dian Mentari Pratama Communication,4 out of 5
PT Oceanika Investindo (Ninety Nine Restaurant),4 out of 5
PT Mitralab Buana,3.75 out of 5
PT BAUMA ADHESIVE,2.6 out of 5
Rockwell Automation Southeast Asia Pte. Ltd.,3.5 out of 5
Le Meridien Bali Jimbaran,4.8 out of 5
PT Solution Anugerah Synergy (SAS) Enterprise,5 out of 5
CV Renon Property - Emporio Architect,1 out of 5
PT Makalot Industrial Indonesia,4.5 out of 5
PT Sumber Bakat Insani,3.4667 out of 5
PT Aneka Froze Triutama,3.4 out of 5
"PERDANA GAPURAPRIMA GROUP, Tbk",4.125 out of 5
PT Citra Sawit Lestari,4.25 out of 5
PT Osi Electronics,4.2083 out of 5
PT.Hwa seung indonesia terbaru,3.6667 out of 5
PT VeIT Solusi Indonesia,4.4 out of 5
Pt showa manufakturing indonesia,5 out of 5
PT Perkebunan Kalidjeruk Baru,4 out of 5
Star Reachers Indonesia,4.5 out of 5
PT. JCO Donut dan caffee,4.5 out of 5
PT .sinar pangan sejahtera,4.3333 out of 5
PT Karsa Lintas Buwana (Kalbe E-Health),4.4 out of 5
PT BDR Indonesia,4.25 out of 5
PT Swakarya Insan Mandiri Cabang Yogyakarta,3 out of 5
RS TIARA TANGERANG,3.5 out of 5
PT Dunia Retail Indonesia,3 out of 5
PT Jaminan Pembiayaan Askrindo Syariah,4.2941 out of 5
PT Nirwana Alabare Garment (Nirwana Group),4 out of 5
Admin gudang,3.75 out of 5
Lynkanna Jaya Utama,3.5 out of 5
PT Bhumiadya Indonesia,4.5 out of 5
PT Rentalindo Visual Mandiri,4.6 out of 5
PT Ciomas Adisatwa Cabang Maros Sulawesi Selatan,0 out of 5
PT Usaha Sukses Sentosa,3.8571 out of 5
PT Indosal Pasteur,4.1429 out of 5
PT Jakarta Properti Manajemen,4.3333 out of 5
PNPM mandiri,4.5 out of 5
PT Keyence Indonesia,3.9 out of 5
PT Chunpao Steel Indonesia,5 out of 5
Honda Nusantara Surya Sakti,3.2 out of 5
Pt artaboga,4.4 out of 5
Kids Education Center,3 out of 5
Progress Group,3.8571 out of 5
Rumah Sakit Royal Prima,4 out of 5
PT Esensi Indonesia,4.1667 out of 5
PT Belgana Permata Abadi,4 out of 5
CV My Pets,2 out of 5
PT Panacipta Seinan Components,2.8333 out of 5
Bricks 4 Kidz Surabaya,5 out of 5
PT Interlining Raphita,4 out of 5
PT Unisia Eksprescara,4.6667 out of 5
Alila Hotels and Resorts,4.5714 out of 5
Transtv,3.5714 out of 5
PT Fungsitama Cipta Teknologi,4.5 out of 5
Elegance Jewelry,0 out of 5
PT Home Center Indonesia (Medan),0 out of 5
PT PAM Mineral ( Pam Group Mining ),5 out of 5
PT Elegant Indonesia,3.3333 out of 5
Pt good fun day,4.3333 out of 5
PT QIMS Intrasindo,4.5 out of 5
PT ST Morita Industries (MORITA GROUP),4.2727 out of 5
PT MicroAd Indonesia,4.5909 out of 5
PT. NSK BEARING KAWASAN BERIKAT MM2100,4 out of 5
PT Merimen Technologies Indonesia,4.6667 out of 5
PT Awiz Indonesia,3.8571 out of 5
CV Mulia Kencana,4 out of 5
PT Matahari Abadi Panganindo,3.875 out of 5
JSIDJF - PT Ruang Raya Indonesia (Ruangguru.com),4.5156 out of 5
PT Totalindo Mandiri,4.3333 out of 5
PT.INDOMILK,4.3462 out of 5
PT. Martina Berto (Martha Tilaar Group),4.6667 out of 5
PT Toyota Tsusho Insurance Broker Indonesia,4.3333 out of 5
Indonesian Creative School,4.5 out of 5
PT Syncore Indonesia,3.6667 out of 5
pt.victory chinglu indonesia,4.5714 out of 5
"pt,pertamina,",4.4 out of 5
PT Matawari Lintas Nusa,4.3333 out of 5
PT Santata Graha Manunggal,4 out of 5
PT Bank Panin Dubai Syariah Tbk,3.8182 out of 5
PT Ide Komunitas Indonesia,3.6667 out of 5
PT Internasional Disaintama Primakarya,4 out of 5
PT. LEN REKAPRIMA SEMESTA,3.8 out of 5
PT Campina ice,3 out of 5
PT. Sumisho Global Logistics,4.5 out of 5
Sakapatat Beer Garden & Resto,3.25 out of 5
PT Linfox Logistics Indonesia,4.4327 out of 5
"Asuransi Samsung Tugu, PT",4.6 out of 5
PT Pratama Cipta Lestarindo,4.6667 out of 5
PT Bumi Menara Internusa,3.75 out of 5
PT Mobil Laku Indonesia (OLX Autos),4 out of 5
PT Fortunarack Sistem Indonesia,3.3333 out of 5
PT Sumber Indah Lestari (DAN+DAN),4.5 out of 5
PT Powertrain Solutions Indonesia,3.5 out of 5
BUMN PT.pos Indonesia (Persero),5 out of 5
PT Sentosa Lestari Nusantara,3 out of 5
PT Always Fit,3.2 out of 5
PT Multi Kreasi Cita Rasa,3.75 out of 5
Pt. SGMW(wuling motor),3.8 out of 5
Ed's Resto,3.6667 out of 5
PT. ASABA METAL INDUSTRI,3.1429 out of 5
PT Lubuk Minturun Konstruksi Persada,4.25 out of 5
PT Elektra Solusi Andalan,2 out of 5
PT Sumber Multi Rejeki,3 out of 5
PT Permodalan Nasional Madani (Manado),0 out of 5
PT Time International (Experienced Candidates),4.5 out of 5
PT. Tirta Fresindo Jaya Pasuruan,5 out of 5
PT Bumi Daya Plaza,4.3636 out of 5
CV Suka Talaga Penuh Berkat,3.5 out of 5
Kompas Gramedia Group Of Book Publishing,4.475 out of 5
Discovery Kartika Plaza Hotel Bali,3.5 out of 5
Apollo,5 out of 5
PT ADHI.COMMUTER PROPERTI,4 out of 5
PT Trimitra Jayasindo,4.3333 out of 5
PT Rollindo Pratama,4 out of 5
Pt ajino moto,4.2857 out of 5
PT Sipatex Putri Lestari,4.6 out of 5
PT Fabindo Sejahtera,4.1 out of 5
PT.ching hlu,5 out of 5
Staff perkantoran,4.4 out of 5
PT Tays Bogainti Selaras,4.25 out of 5
PT GfK Retail and Technology Indonesia,4.1429 out of 5
PT Intertama Trikencana Bersinar,4.0833 out of 5
PT Garuda Sakti Mandiri,0 out of 5
PT MAYORA INDAH (MAYORA GROUP),4.7143 out of 5
CV MorphAsia,4 out of 5
PT Puri Dibya Property,4.5 out of 5
PT Environeer,4.1429 out of 5
PT Landmark Retail Trading,4 out of 5
PT Intermulti Kreasi,3 out of 5
PT Alfabet Anugerah Abadi,4 out of 5
PT Singa Terbang Dunia,3.5 out of 5
BERKAH JAYA MOTOR,4 out of 5
PT. ANGSA DAYA,3.8846 out of 5
PT Kajima Indonesia,4.25 out of 5
PT Krakatau Argo Logistics,4.1667 out of 5
PT Sarana Aspal Nusantara,2 out of 5
Yayasan Pengembangan Anak Indonesia - biMBA-AIUEO,4.5 out of 5
PT.best agro plantation,4.6667 out of 5
PT. SINOHYDRO CORPORATION LIMITED BUREAU 7,4 out of 5
PT Amcor Specialty Cartons Indonesia,4.5714 out of 5
PT Nilam Port Terminal Indonesia,4.5 out of 5
Monster Group,4.5 out of 5
PT Kamadjaja Logistics,3.6667 out of 5
PT Higo Fitur Indonesia,4.55 out of 5
ALL Tour And Travel ( PT. Amanah Lentera Lestari ),5 out of 5
PT SEBASTIAN CITRA INDONESIA (ROTI`O),4.8 out of 5
ARK Logistics & Transportation,4.6 out of 5
PT. ATLAS ADJUSTING INDONESIA,4 out of 5
PT Temprina Media Grafika,4.1429 out of 5
PT Manuchar Indonesia,2.8571 out of 5
PT Berdikari Metal Engineering,4.3333 out of 5
PT AMG,4 out of 5
PT. Golden Dolbe ( MM Juice),4.5 out of 5
BEBOB,4 out of 5
PT Unilever Indonesia Tbk,4.5214 out of 5
Sekolah Global Mandiri Cibubur,4 out of 5
PT Kompresindo Utamajaya,0 out of 5
PT Perkasa Tunggal Mandiri,4.5 out of 5
PT Bening Big Tree Farms,4.3333 out of 5
Pt epson industrial,4.6 out of 5
PT. Tiki Jalur Nugraha Eka Kurir. (JNE),4.3333 out of 5
PT Pendidikan Maritim & Logistik Indonesia,4.5 out of 5
PT Rana Global,1.6667 out of 5
"PT.BANK RAKYAT INDONESIAN (Persero),Tbk",4.5556 out of 5
PT Hartamas Bahari,0 out of 5
PT Toray Industries Indonesia,2 out of 5
PT Indoritel Makmur Internasional Tbk,4.6667 out of 5
PT Dinamika Inti Perkasa,2.5 out of 5
PT . Tirta varia inti pratama,4.3333 out of 5
PT Wave Wahana Wisesa,2.25 out of 5
PT Ikitech Precision Grinding,4 out of 5
PT Nusantara Jaya Ekspress,4.5 out of 5
PT. ZORTEA ASIA PASIFIC,4.6667 out of 5
Pt. Duta visual tivi tujuh(Trans7),5 out of 5
PT. Kilo Dapur Nusantara,5 out of 5
PT Samsung SDS Global SCL Indonesia,4.6364 out of 5
AccelByte Inc,4.6 out of 5
PT Wahana Datarindo Sempurna,3 out of 5
PT Dunkindo Lestari (Dunkin Donuts) [Cabang Bali],0 out of 5
Kantor Notaris & PPAT,4.0811 out of 5
PT Composite Core Indonesia,4 out of 5
PT EFL GLOBAL INDONESIA,4 out of 5
PT Triplus Hitech,4 out of 5
PT.SETRA PRABA PERKASA,4 out of 5
PT Perwirabhakti Sentrasejahtera,3.5 out of 5
Universitas Internasional Batam,4.3333 out of 5
PT Sharing Vision Indonesia,5 out of 5
PT. KARYA NIAGA BERSAMA (PR. GRENDEL),2.6667 out of 5
Pt .JMS BATAM,4 out of 5
PT Regent Semesta Indonesia,4.6667 out of 5
PT Sinar Pratama Agung,1 out of 5
PT Batara Surya Semesta,4.375 out of 5
PT CLARIANT INDONESIA,4.4 out of 5
PT SGWICUS INDONESIA,2 out of 5
PT. Sido Muncul Pupuk Nusantara,4 out of 5
PT Hwang seung indonesia,4.1538 out of 5
PT Batam Island Marina,3.4286 out of 5
PT Yokohama Technica Surabaya,4.3333 out of 5
PT Kayu Ara Jaya Raya,5 out of 5
HOLDING PERKEBUNAN NUSANTARA PTPN III (PERSERO),4.3429 out of 5
PT Neutral Retail Sejahtera,3.6667 out of 5
CV Restu Sejati,3.8 out of 5
PT Sariwangi Agricultural Estate Agency (Sariwangi AEA),4.4545 out of 5
Taat kerja,3.6667 out of 5
PT SURYA LINTAS NUSANTARA,3.9667 out of 5
PT Indoartha Surya Buana,3.6667 out of 5
PT Bisi International Tbk (Tanindo Kalimantan),4 out of 5
PT ismaya grup,5 out of 5
PT King Sukses Abadi,5 out of 5
PT Geo Given Visi Mandiri,4.5294 out of 5
BP AKR,4.1667 out of 5
PT Poca Jaringan Samadhau,4 out of 5
Indomaret ancol,4.6667 out of 5
PT. Mega Karya Mitra Persada,2.5 out of 5
PT Liebra Permana Wonogiri,3.8 out of 5
PTCHristalentaPratama,4.5366 out of 5
PT. Parkland world Indonesia Plant 2,4.9 out of 5
PT SURYA MANDIRI BANGUNSINDO,2.3333 out of 5
PT Global Bintang Timur Ekspress,4.2 out of 5
"PT Pembangunan Jaya Ancol, Tbk",4.5217 out of 5
PT K Line Indonesia,4.75 out of 5
PT. Panfila Indosari,3.6667 out of 5
Pt ace hardware tbk.,4.875 out of 5
PT. GAHARU KAPITA INDONESIA,5 out of 5
"PT Mandala Multifinance, Tbk",4.0328 out of 5
PT . NOK indonesia,5 out of 5
PT Toyogiri Iron & Steel,3.6667 out of 5
PT Graha Arta Kaltim Sentosa,5 out of 5
PT Barry Callebaut Indonesia,4.5 out of 5
PT Popular Daenong Indonesia,3 out of 5
PT Charis Global Investments,3.75 out of 5
Sparks Hotel Jakarta,4.25 out of 5
PT Wasco Engineering Indonesia,4.2222 out of 5
PT Kaltim Nitrate Indonesia,4.5 out of 5
PT Triguna Karya Nusantara,4.3333 out of 5
PT KA Pariwisata Tahun 2020,2.5 out of 5
PT Asian Paints Indonesia,3.1667 out of 5
Ariesta Management Consultant,3 out of 5
PT Global Security Service Indonesia,4 out of 5
Mawar Sharon Christian School,4.2632 out of 5
PT Fukoku Tokai Rubber Indonesia Kawasan industri jababeka Jl. Industri selatan 2 Blok MM 18-19 Cikarang - Bekasi 17854,4.5714 out of 5
BREWIN MESA SUTERA,3.4 out of 5
Valiram Group (PT Dunia Luxindo),3.9412 out of 5
PT Sepeda Bersama Indonesia,3.7813 out of 5
BUMN Jasa Keuangan,3.6 out of 5
PT Wahana Auto Ekamarga,4.3333 out of 5
PT Intiswiss Consulindo,2.5 out of 5
PT Indonesian Marine (Surabaya),3.6667 out of 5
PT Sahabat Unggul International,0 out of 5
PT Perusahaan Pelayaran Equinox,4.25 out of 5
PT. Umaq Tukung Mandiri Utama,4.3333 out of 5
PT Sehat Global Otomotif,3.6667 out of 5
British Council,3.5 out of 5
PT Sinar Continental,3.5 out of 5
PT Pekanbaru Permai Propertindo (Pekanbaru),5 out of 5
PT Parkiran Indonesia Djaja,2 out of 5
PT Indo Ducting Primatama,3.8333 out of 5
PT BARADINAMIKA MUDASUKSES,3.5714 out of 5
PT Astra Sedaya finance (Astra Credit Companies),4.3688 out of 5
PT Solidiance Consulting Indonesia,4.5 out of 5
PT Danfoss Indonesia,3.6667 out of 5
PT Dapur Solo Mustika Nusantara,4.7778 out of 5
PT Wanata Jaya Cipta (Nanny's Pavillon),3.8 out of 5
PT. Televisi transformasi indonesia,4.8 out of 5
Grand Jatra Hotel Pekanbaru,4.5 out of 5
PT Surya Multi Indopack,4.0526 out of 5
Sinarmas Forestry (Arara Abadi),4.1143 out of 5
PT. Leetex Garment Indonesia,4.3333 out of 5
PT Aldmic Indonesia,3.7778 out of 5
PT Starmas Inti Aluminium Industry,4.2857 out of 5
Restoran/ hotel,4.7778 out of 5
PT ASTRA(grup),4 out of 5
PT Sentra Niaga Bersama (SeNB),4.2 out of 5
PT Insekta Fokustama,3.6667 out of 5
OTO FINANCE,4.5 out of 5
PT cipar sukses bersama,4 out of 5
PT Hexpharm Jaya Laboratories Cikarang,4.6 out of 5
Oriskin Indonesia,4 out of 5
PT Saipem Indonesia Karimun,4.375 out of 5
PT Kimia Farma Diagnostika,0 out of 5
PT Asmo indonesia,4.6667 out of 5
Rumah Sakit Permata Pamulang,0 out of 5
PT Elders Indonesia,4 out of 5
"AtoZ Bar, Wine & Brasserie",4.3333 out of 5
PT Guna Indah Makmur (GIM),4.3333 out of 5
PT MNC Land,3.84 out of 5
PT Buka Media Teknologi,4 out of 5
PT BPR Dana Nusantara (Batam),3.5 out of 5
Jasa Konstruksi,4.6667 out of 5
PT. Sebastian citra Indonesia ( Roti'o),4 out of 5
PT Ikeda Indonesia,4.2174 out of 5
PT. ADHI PERSADA PROPERTI APARTEMEN TAMAN MELATI JATINANGOR,4.25 out of 5
PT GGINDONESIA JAYA GARMENTS,4.5 out of 5
Kajima Corporation,5 out of 5
PT. Traders Family International,3.9 out of 5
PT Petra Sejahtera Abadi (Bandung),2 out of 5
PT taspen,5 out of 5
pt .kao,3.8 out of 5
PT Galva Galindra Multi Cipta,4.5455 out of 5
SSJK Consulting,4.6667 out of 5
PT Rekadaya Elektrika Consult (reCOnsult),4.2759 out of 5
PT Universal,4 out of 5
PT Deltamas Surya Indah Mulia,4.1667 out of 5
PT Keihin Indonesia industry,4.25 out of 5
PT .KAI,4.7 out of 5
Finmas,5 out of 5
Grant Thornton Consulting Services,4.2857 out of 5
PT Ace Hardware Indonesia (Pekanbaru),0 out of 5
So Educative,3.5 out of 5
Grab Bali Office,4.6667 out of 5
PT SDS International Indonesia,2.4 out of 5
PT Hiro Group Indonesia,3.8333 out of 5
PT Asuransi Jiwa BCA (Sales Division),4.4444 out of 5
PT Visi Insan Pratama,4 out of 5
PT. Yellow Food Indonesia,3 out of 5
"BUT Samsung Engineering Co, LTD",5 out of 5
PT San Central Indah,4 out of 5
PT Avia Citra Dirgantara,3.8 out of 5
PT Sutindo Raya Mulia Surabaya,3.4545 out of 5
PT AGRI JAYA SEJATI,4.5 out of 5
PT Indofood Sukses Makmur Tbk,4.374 out of 5
"Perusahaan,PT",4.6 out of 5
PT ISS Indonesia Cabang Makassar,0 out of 5
Amanda Brownies Kukus,4.6667 out of 5
PT Trisensa Mineral Utama,3.5 out of 5
PT Mitra Maha Cipta,5 out of 5
ptbhaktiabadisejahtera,4.1087 out of 5
Dago Bakery,3.6667 out of 5
Perusahaan Asuransi Indonesia,4 out of 5
METAMORPHOSA,4 out of 5
PT NCB INDONESIA,4.8 out of 5
PT Takenaka Doboku Indonesia,3.5 out of 5
PT Sumber Berkat Anugerah,3.6667 out of 5
PT Prime Restaurant Indonesia (Member of Kino),4.0909 out of 5
Buat cari pekerjaan,4.5 out of 5
PT Fuji Spring Indonesia,4.4 out of 5
PT Inovasi Karya Dinamika,3 out of 5
Pakuwon Group,4.2414 out of 5
PT Indomas Makmur Jaya,3.6667 out of 5
PT KA Properti Manajemen,4 out of 5
PT Transamudra Usaha Sejahtera,5 out of 5
PT Lemonilo Indonesia Sehat,4.6 out of 5
PT Rafindo Anugrah Sukses,3 out of 5
PT Delimax Indonesia,4.5 out of 5
PT Paramita Banindo,3.5 out of 5
PT. HASURA MEGA GEMILANG,4.2 out of 5
PT Karya Murni Prima,3 out of 5
PT Bosowa Resources,4 out of 5
PT RMU,4.6667 out of 5
Masari Group,0 out of 5
PT Chemico Surabaya,3.5 out of 5
PT Samudera Atlantis Internasional,5 out of 5
PT Jawa Soft,4 out of 5
PT Fortune Star Indonesia,4 out of 5
PT. Mayora tbk cibitung,5 out of 5
PT Malea Energy HydroPower,4.6667 out of 5
PT. Tonjoo Gagas Teknologi,4 out of 5
PT CINEMAX GLOBAL PASIFIK,4.8571 out of 5
PT Srirejeki Perdana Steel,3.5294 out of 5
PT Mabuchi Indonesia,4 out of 5
PT Acosta Super Food,2.6667 out of 5
PT Sapphire Assets International,4 out of 5
PT TEC INDONESIA BATAM,4.5 out of 5
Grand Elite Hotel Pekanbaru,5 out of 5
PT Quadra Dinamika Internasional,4.7727 out of 5
PT. Karyamega Putra Mandiri,3.5714 out of 5
PT SUMBER ALFAMART TRIJAYA Tbk.,4.5 out of 5
Koding Next,4.1429 out of 5
PT Telenet,4.1667 out of 5
PT Mashill Internasional Finance,4 out of 5
Grand Metropolitan,4.5 out of 5
British American Tobacco Indonesia,4.0286 out of 5
PT Pakubumi Semesta,3.75 out of 5
Agronomist PT SATYA AGRO INDONESIA,5 out of 5
PT Pacific 2000 Sekuritas,5 out of 5
PT.kao jababeka,4.5789 out of 5
PT Fleischhacker Solutions Indonesia,0 out of 5
NOTARIS-PPAT,4.2 out of 5
Moll Matahari,5 out of 5
PT KKV INTERNASIONAL INDONESIA,4.8 out of 5
Pt yasunli abadi utama plastic,3.875 out of 5
PT Givaudan Indonesia,4.4 out of 5
Kagum Wisata Selfie,4.3333 out of 5
PT TEMPA BERSAMA,3 out of 5
PT Agung Concern,3.5 out of 5
PT INDOFOOD GRUP,4.6667 out of 5
Pt.wuling motor,4.5556 out of 5
PT. INDOMARCO PRISMATAMA (CABANG PALEMBANG),4.2667 out of 5
PT Bintang Jaya Solution,5 out of 5
PT Philips Industries Batam,4.2889 out of 5
PT Iverson Technology,0 out of 5
PT Selera Radja Sejahtera,5 out of 5
PT Intan Pertiwi Industri,5 out of 5
PT. MULIA KERAMIK INDUSTRIAL,4.3333 out of 5
Ret Houzz Natural Living,5 out of 5
PT Sodexo Indonesia,4.04 out of 5
PT Ciomas Adisatwa Cabang Lampung,4.3333 out of 5
Amar Bank Indonesia,4 out of 5
PT Yamaha motor parts manufacturing Indonesia ( YPMI ),4.8889 out of 5
Pt indolakto/indofood,4.3333 out of 5
Royal Danish Embassy,4.5 out of 5
PT Kesaint Blanc Indah,3.8333 out of 5
PT. INFINEON BATAM,4.4444 out of 5
PT Asuransi Jiwa Sequis Life,4.15 out of 5
LOTTE E&C and Hans,4.5 out of 5
PT TRANSPORTASI JAKARTA,4.0833 out of 5
PT CIIC Service Indonesia,4.25 out of 5
PT Visionet Internasional Cabang Makassar,4.25 out of 5
PT Blue Star Karsa Unggul,4 out of 5
PT Integritas Berkah Berlimpah Ruah,3.2857 out of 5
PT Hollit International,4.375 out of 5
PT Indopoly Swakarsa Industry Tbk,4.75 out of 5
PT Arkonin MP Engineering,3.6316 out of 5
PT Toraja Setia Indonesia,4 out of 5
PT. High Tech Ancillaries Indonesia,4.2 out of 5
PT Antareja Prima Antara (Balikpapan),2.5 out of 5
PT Jessindo Prakarsa,4.25 out of 5
Darabirra by Humaira,3.5 out of 5
PT DUNIA SETIA SANDANG ASLI TEXTIL IV,1.5 out of 5
PT Redpod Indonesia,3 out of 5
PT Programa Reka Piranti,4.5 out of 5
PT Deraya,4.3333 out of 5
PT Daiho Indonesia,4.4286 out of 5
PT Indokores Sahabat,3.4 out of 5
PT Pilar Solusi Digital,4.5 out of 5
KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,4.5625 out of 5
Electronic Solution,3.9778 out of 5
KONSULTAN PERTANAHAN,4 out of 5
PT JIWA INFORMATIKA ASIA,5 out of 5
PT Mitrametal Perkasa,4.0909 out of 5
PT Ideal Fastener,2.6667 out of 5
PT Borwita Citra Prima (Manado),0 out of 5
"PERSEK. KAP Paul Hadiwinata,Hidajat,Arsono,Ade Fatma & Rekan",3.5 out of 5
PT BPRS Al Salaam Amal Salman,4.4 out of 5
PT Johnson Home Hygiene Products,4.3636 out of 5
PT Sidomuncul,4.1 out of 5
PT Ito Taka Construction,4 out of 5
YAYASAN MENARA KASIH,3.3333 out of 5
PT Selectrix Indonesia,4.1111 out of 5
PT. POSCO INTERNATIONAL INDONESIA,3.5 out of 5
PT Cidas Supra Metalindo,3.75 out of 5
DHI Water & Environment,1.6667 out of 5
PT Artha Jasakonsulindo,4.4 out of 5
PT Cipta Busana Mandiri,4.2 out of 5
But Xiamen Airlines Company Limited,5 out of 5
Happy Holy Kids Playgroup,0 out of 5
PT. Joenoes ikamulya (Yuri),4.3333 out of 5
INS JAKARTA,4 out of 5
PT Citra Tubindo Tbk,4.8 out of 5
PT Fuji Technica Indonesia,4.3793 out of 5
PT Javinci Berkat Kreatif Sentosa,3.25 out of 5
Koperasi Trikarya Dana Sejahtera,4 out of 5
PT Starfish Bali,5 out of 5
PT.YAMAHA 1,4.75 out of 5
Malang Eye Center (MEC),4.5 out of 5
PT Kreasi Sukses Indoprima,4.1429 out of 5
PT Gunawan Elektrindo,4 out of 5
PT Pelitamaju Multiswakarsa,3.5 out of 5
"Hyundai Engineering & Construction Co., Ltd.",4.3333 out of 5
PT.Epson industri Indonesia,4.6667 out of 5
PT Nusantara Sakti Purwokerto,3.8 out of 5
PT. Maxxis Internasional,4.25 out of 5
PT. Pison TicketTech (KiosTix),3.6 out of 5
PT Peroni Karya Sentra,3.625 out of 5
SUN Education Group,4.4 out of 5
PT Cipta Prima Parkirindo,3.5 out of 5
PT Gemabangun Pronaperkasa,4.6667 out of 5
Belum berkerja,4.1429 out of 5
PT BDO Bisnis Solusi Indonesia,4.5556 out of 5
Bank Syariah Indonesia,4.4 out of 5
PT. Manajemen Konstruksi Utama,4.4286 out of 5
Pribadi ( perorangan,4.125 out of 5
VIVERE GROUP,3.7391 out of 5
PT.TIRTA VARIA INTIPRANATA ( distributor aqua ),3 out of 5
PT Paragon Technology Innovation,4.7778 out of 5
